date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
1/3/2008,12-23-27-33-36-44,12,23,27,33,36,44,12,23,27,33,36,44
1/6/2008,3-4-30-38-44-49,3,4,30,38,44,49,3,4,30,38,44,49
1/10/2008,7-28-30-31-36-40,7,28,30,31,36,40,7,28,30,31,36,40
1/13/2008,10-17-26-37-38-40,10,17,26,37,38,40,10,17,26,37,38,40
1/17/2008,2-8-12-31-41-49,2,8,12,31,41,49,2,8,12,31,41,49
1/20/2008,4-8-11-13-22-26,4,8,11,13,22,26,4,8,11,13,22,26
1/24/2008,4-8-19-25-32-41,4,8,19,25,32,41,4,8,19,25,32,41
1/27/2008,7-8-27-38-43-46,7,8,27,38,43,46,7,8,27,38,43,46
1/31/2008,1-10-21-38-43-48,1,10,21,38,43,48,1,10,21,38,43,48
2/3/2008,3-9-19-23-37-44,3,9,19,23,37,44,3,9,19,23,37,44
2/7/2008,3-6-8-29-39-46,3,6,8,29,39,46,3,6,8,29,39,46
2/10/2008,5-10-16-26-28-47,5,10,16,26,28,47,5,10,16,26,28,47
2/14/2008,2-10-22-30-38-39,2,10,22,30,38,39,2,10,22,30,38,39
2/17/2008,7-9-16-23-26-27,7,9,16,23,26,27,7,9,16,23,26,27
2/21/2008,1-19-32-35-42-48,1,19,32,35,42,48,1,19,32,35,42,48
2/24/2008,10-11-23-30-40-44,10,11,23,30,40,44,10,11,23,30,40,44
2/28/2008,6-14-18-35-42-46,6,14,18,35,42,46,6,14,18,35,42,46
3/2/2008,6-12-15-21-39-46,6,12,15,21,39,46,6,12,15,21,39,46
3/6/2008,5-6-16-36-45-49,5,6,16,36,45,49,5,6,16,36,45,49
3/9/2008,7-16-19-32-38-39,7,16,19,32,38,39,7,16,19,32,38,39
3/13/2008,2-4-6-26-29-40,2,4,6,26,29,40,2,4,6,26,29,40
3/16/2008,5-6-15-17-21-38,5,6,15,17,21,38,5,6,15,17,21,38
3/27/2008,7-21-24-27-42-43,7,21,24,27,42,43,7,21,24,27,42,43
3/30/2008,1-15-29-32-46-47,1,15,29,32,46,47,1,15,29,32,46,47
4/3/2008,5-14-19-21-24-34,5,14,19,21,24,34,5,14,19,21,24,34
4/6/2008,11-12-15-19-28-30,11,12,15,19,28,30,11,12,15,19,28,30
4/10/2008,4-8-9-13-34-48,4,8,9,13,34,48,4,8,9,13,34,48
4/13/2008,2-11-25-26-39-49,2,11,25,26,39,49,2,11,25,26,39,49
4/17/2008,14-18-20-24-39-41,14,18,20,24,39,41,14,18,20,24,39,41
