date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
10/25/2015,49-04-46-34-19-56,49,4,46,34,19,56,4,19,34,46,49,56
10/30/2015,22-09-24-16-52-42,22,9,24,16,52,42,9,16,22,24,42,52
11/1/2015,22-03-27-41-43-36,22,3,27,41,43,36,3,22,27,36,41,43
11/6/2015,11-22-03-43-34-06,11,22,3,43,34,6,3,6,11,22,34,43
11/8/2015,48-52-14-58-23-38,48,52,14,58,23,38,14,23,38,48,52,58
11/13/2015,48-15-01-35-26-22,48,15,1,35,26,22,1,15,22,26,35,48
11/15/2015,20-01-04-40-51-02,20,1,4,40,51,2,1,2,4,20,40,51
11/20/2015,33-54-45-20-14-12,33,54,45,20,14,12,12,14,20,33,45,54
11/22/2015,15-48-31-04-43-13,15,48,31,4,43,13,4,13,15,31,43,48
11/27/2015,32-51-27-01-16-20,32,51,27,1,16,20,1,16,20,27,32,51
11/29/2015,19-51-38-17-43-04,19,51,38,17,43,4,4,17,19,38,43,51
12/4/2015,22-28-01-43-06-13,22,28,1,43,6,13,1,6,13,22,28,43
12/6/2015,38-33-11-25-54-41,38,33,11,25,54,41,11,25,33,38,41,54
12/11/2015,08-55-11-33-05-10,8,55,11,33,5,10,5,8,10,11,33,55
12/13/2015,50-52-09-33-08-31,50,52,9,33,8,31,8,9,31,33,50,52
12/18/2015,53-30-54-41-43-26,53,30,54,41,43,26,26,30,41,43,53,54
12/20/2015,16-07-50-03-26-53,16,7,50,3,26,53,3,7,16,26,50,53
12/27/2015,13-27-23-11-01-09,13,27,23,11,1,9,1,9,11,13,23,27
1/3/2016,26-10-05-24-49-12,26,10,5,24,49,12,5,10,12,24,26,49
1/8/2016,38-35-33-08-49-52,38,35,33,8,49,52,8,33,35,38,49,52
1/10/2016,23-54-31-05-32-03,23,54,31,5,32,3,3,5,23,31,32,54
1/15/2016,22-16-45-56-54-39,22,16,45,56,54,39,16,22,39,45,54,56
1/17/2016,53-19-58-38-04-27,53,19,58,38,4,27,4,19,27,38,53,58
1/22/2016,37-14-25-09-46-31,37,14,25,9,46,31,9,14,25,31,37,46
1/24/2016,25-43-49-57-06-13,25,43,49,57,6,13,6,13,25,43,49,57
1/29/2016,44-12-54-33-04-53,44,12,54,33,4,53,4,12,33,44,53,54
