temp,humidity,pressure,slot,partofday,target
86.8,73,29.8,1.00,1,2
86.9,74.5,29.7,1.00,1,6
86.8,75,29.7,1.00,1,3
85,78.4,29.7,1.00,1,5
82.8,81.7,29.7,1.00,1,8
83.4,77.5,29.7,1.00,1,6
83.3,80.1,29.8,1.00,1,8
84.2,77.5,29.7,1.00,1,3
83.7,80.6,29.7,1.00,1,9
85.4,77.2,29.8,1.00,1,4
86.3,75.6,29.8,1.00,1,7
84.9,80.3,29.7,1.00,1,0
84.5,78.3,29.7,1.00,1,5
86.2,74.4,29.7,1.00,1,6
86.1,74.2,29.7,1.00,1,1
85.3,72.2,29.7,1.00,1,1
82,83.9,29.6,1.00,1,2
82.5,84.3,29.6,1.00,1,8
83.1,84,29.6,1.00,1,6
82.7,83.6,29.7,1.00,1,8
85.5,75.3,29.8,1.00,1,0
86.5,71.1,29.7,1.00,1,2
86,72.2,29.7,1.00,1,4
85.2,72.9,29.7,1.00,1,2
85.7,75.2,29.7,1.00,1,6
86.8,73,29.7,1.00,1,4
85.4,74,29.7,1.00,1,7
77.6,72.4,28.6,1.00,1,4
79.7,80.4,29.7,1.00,1,3
79.7,78.6,29.7,1.00,1,6
83.6,83,29.6,1.00,1,4
83.7,78.8,29.6,1.00,1,8
81.5,87.5,29.6,1.00,1,7
81.4,88.7,29.6,1.00,1,9
78.3,94.3,29.6,1.00,1,8
78.2,95.7,29.6,1.00,1,4
76.4,88.5,29.5,1.00,1,7
78.8,93.1,29.6,1.00,1,4
80.2,90.9,29.6,1.00,1,9
84.9,80.3,29.6,1.00,1,6
83.7,84.3,29.5,1.00,1,2
80.8,91,29.6,1.00,1,1
80.3,91.8,29.6,1.00,1,6
84.6,82.1,29.7,1.00,1,1
85,81,29.7,1.00,1,4
85.7,76.9,29.6,1.00,1,1
85.1,77.9,29.6,1.00,1,7
82,74.8,29.6,1.00,1,3
86,76.9,29.6,1.00,1,9
85.3,79.4,29.7,1.00,1,1
85.3,79.8,29.7,1.00,1,0
85.3,80,29.7,1.00,1,4
85.5,78.8,29.7,1.00,1,4
84.2,78.2,29.7,1.00,1,9
82.2,83.3,29.7,1.00,1,2
81.7,82.2,29.8,1.00,1,8
84.4,78.8,29.8,1.00,1,1
85.9,72.3,29.7,1.00,1,2
84,75.7,29.7,1.00,1,5
81.2,84,29.8,1.00,1,0
85.5,74.3,29.8,1.00,1,8
85.4,74.9,29.7,1.00,1,6
84.5,78.6,29.7,1.00,1,6
83.7,81.3,29.7,1.00,1,6
83.5,81.5,29.7,1.00,1,3
82.9,80,29.7,1.00,1,6
83,82.5,29.7,1.00,1,6
83.1,84.2,29.7,1.00,1,6
80.6,85.3,29.7,1.00,1,4
82.9,80.8,29.7,1.00,1,4
82,81,29.7,1.00,1,1
83.4,78,29.7,1.00,1,4
83.5,76,29.7,1.00,1,8
83.7,79.5,29.7,1.00,1,8
82.7,84.2,29.7,1.00,1,6
84.7,77,29.7,1.00,1,6
83.4,78.4,29.7,1.00,1,2
82.4,81.3,29.7,1.00,1,3
83.3,77.4,29.7,1.00,1,7
83.4,80.5,29.7,1.00,1,4
84.3,78.7,29.7,1.00,1,0
82.3,85.9,29.7,1.00,1,7
81.3,87.2,29.7,1.00,1,1
77.7,93.8,29.6,1.00,1,9
83,83.3,29.6,1.00,1,9
80.6,88,29.7,1.00,1,8
81.5,86,29.6,1.00,1,1
80.1,89.3,29.7,1.00,1,5
83.5,81.1,29.7,1.00,1,6
84.8,77.9,29.8,1.00,1,2
84.9,75.6,29.8,1.00,1,4
83.1,82.9,29.7,1.00,1,1
83,80,29.7,1.00,1,1
85.8,76.1,29.7,1.00,1,3
81.6,85.2,29.7,1.00,1,1
82.4,83.6,29.7,1.00,1,6
85,77.6,29.7,1.00,1,3
86.3,73,29.7,1.00,1,5
86.9,70.5,29.8,1.00,1,6
85.8,69.3,29.8,1.00,1,3
85.1,73,29.7,1.00,1,6
85.6,77,29.7,1.00,1,0
84,80.6,29.7,1.00,1,7
85,79.5,29.7,1.00,1,6
85,80.9,29.7,1.00,1,7
83.9,84.1,29.7,1.00,1,6
84.7,81.8,29.7,1.00,1,1
85,78,29.7,1.00,1,3
83,82.8,29.7,1.00,1,7
81.4,85.9,29.7,1.00,1,3
80.6,90.8,29.6,1.00,1,9
82.1,85,29.6,1.00,1,8
84.1,78.6,29.6,1.00,1,9
84.4,80.3,29.7,1.00,1,4
84.1,81.1,29.7,1.00,1,4
84.3,81.3,29.6,1.00,1,6
83.8,81.8,29.4,1.00,1,2
83,82.8,29.4,1.00,1,8
81.7,86.9,29.6,1.00,1,5
82,87.4,29.7,1.00,1,0
82,87.4,29.7,1.00,1,0
82.7,85.7,29.6,1.00,1,1
85.3,77.4,29.7,1.00,1,9
84.5,77.2,29.8,1.00,1,0
81.6,81.8,29.8,1.00,1,8
84.5,74.1,29.8,1.00,1,4
83.8,75.5,29.8,1.00,1,0
83.2,81.6,29.8,1.00,1,7
83.7,75.6,29.8,1.00,1,8
82.9,78.8,29.8,1.00,1,5
73.2,76.2,29.8,1.00,1,4
79.7,85.8,29.7,1.00,1,2
78.8,74.1,29.8,1.00,1,3
83.9,74.4,30.9,1.00,1,7
82.8,75.4,29.8,1.00,1,5
84.8,64.8,29.8,1.00,1,8
84.8,64.8,29.8,1.00,1,8
84.5,67.8,29.9,1.00,1,9
84.4,67,29.8,1.00,1,0
83.3,74.9,29.8,1.00,1,4
84,69.6,29.8,1.00,1,9
81.5,61.8,29.8,1.00,1,9
85.5,67,29.8,1.00,1,9
85.5,71.3,29.7,1.00,1,6
85.9,73.6,29.7,1.00,1,3
84.9,75.1,29.7,1.00,1,2
84.4,80.1,29.7,1.00,1,5
85.5,69.5,29.8,1.00,1,3
84.5,70.8,29.8,1.00,1,1
81.4,66,29.8,1.00,1,2
83.5,76.7,29.8,1.00,1,1
84.2,75.3,29.8,1.00,1,0
84.7,75,29.8,1.00,1,0
83.5,77.1,29.7,1.00,1,3
84.5,75.2,29.7,1.00,1,7
84.5,75.1,29.7,1.00,1,1
84.5,74.2,29.7,1.00,1,9
84.9,74.2,29.6,1.00,1,3
82.1,83.3,29.7,1.00,1,4
