date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
1/3/2018,26-16-22-19-45-07,26,16,22,19,45,7,7,16,19,22,26,45
1/5/2018,09-38-16-34-10-40,9,38,16,34,10,40,9,10,16,34,38,40
1/8/2018,28-40-31-21-11-04,28,40,31,21,11,4,4,11,21,28,31,40
1/10/2018,27-13-01-37-02-32,27,13,1,37,2,32,1,2,13,27,32,37
1/12/2018,31-10-36-04-07-41,31,10,36,4,7,41,4,7,10,31,36,41
1/15/2018,02-08-27-23-11-36,2,8,27,23,11,36,2,8,11,23,27,36
1/17/2018,40-16-04-34-24-20,40,16,4,34,24,20,4,16,20,24,34,40
1/19/2018,14-09-42-19-04-34,14,9,42,19,4,34,4,9,14,19,34,42
1/22/2018,21-24-40-43-18-04,21,24,40,43,18,4,4,18,21,24,40,43
1/24/2018,31-43-32-26-38-29,31,43,32,26,38,29,26,29,31,32,38,43
1/26/2018,25-44-14-15-06-04,25,44,14,15,6,4,4,6,14,15,25,44
1/29/2018,45-25-09-02-32-18,45,25,9,2,32,18,2,9,18,25,32,45
1/31/2018,03-13-23-44-20-41,3,13,23,44,20,41,3,13,20,23,41,44
2/2/2018,09-02-20-22-42-25,9,2,20,22,42,25,2,9,20,22,25,42
2/5/2018,35-32-02-11-01-13,35,32,2,11,1,13,1,2,11,13,32,35
2/7/2018,38-14-44-07-26-34,38,14,44,7,26,34,7,14,26,34,38,44
2/9/2018,11-36-40-43-02-06,11,36,40,43,2,6,2,6,11,36,40,43
2/12/2018,39-43-10-32-18-33,39,43,10,32,18,33,10,18,32,33,39,43
2/14/2018,13-39-12-11-24-15,13,39,12,11,24,15,11,12,13,15,24,39
2/16/2018,39-23-20-19-05-40,39,23,20,19,5,40,5,19,20,23,39,40
2/19/2018,23-43-19-38-41-04,23,43,19,38,41,4,4,19,23,38,41,43
2/21/2018,37-20-40-36-14-15,37,20,40,36,14,15,14,15,20,36,37,40
2/23/2018,04-45-30-31-06-02,4,45,30,31,6,2,2,4,6,30,31,45
2/26/2018,32-33-42-30-28-31,32,33,42,30,28,31,28,30,31,32,33,42
2/28/2018,18-29-36-24-38-07,18,29,36,24,38,7,7,18,24,29,36,38
3/2/2018,30-10-33-25-37-16,30,10,33,25,37,16,10,16,25,30,33,37
3/5/2018,18-39-40-44-19-20,18,39,40,44,19,20,18,19,20,39,40,44
3/7/2018,10-05-17-07-29-21,10,5,17,7,29,21,5,7,10,17,21,29
3/9/2018,27-16-08-38-39-03,27,16,8,38,39,3,3,8,16,27,38,39
3/12/2018,29-45-18-13-23-17,29,45,18,13,23,17,13,17,18,23,29,45
3/14/2018,33-06-14-44-19-20,33,6,14,44,19,20,6,14,19,20,33,44
3/16/2018,16-29-33-23-24-25,16,29,33,23,24,25,16,23,24,25,29,33
3/19/2018,12-32-28-27-44-13,12,32,28,27,44,13,12,13,27,28,32,44
3/21/2018,15-30-14-07-42-29,15,30,14,7,42,29,7,14,15,29,30,42
3/23/2018,21-32-44-18-03-28,21,32,44,18,3,28,3,18,21,28,32,44
3/26/2018,40-36-35-12-42-21,40,36,35,12,42,21,12,21,35,36,40,42
3/28/2018,43-14-04-05-13-24,43,14,4,5,13,24,4,5,13,14,24,43
4/2/2018,13-34-25-33-37-05,13,34,25,33,37,5,5,13,25,33,34,37
4/4/2018,25-45-07-04-06-20,25,45,7,4,6,20,4,6,7,20,25,45
4/6/2018,09-28-22-03-37-38,9,28,22,3,37,38,3,9,22,28,37,38
4/9/2018,23-41-27-34-33-32,23,41,27,34,33,32,23,27,32,33,34,41
4/11/2018,37-22-08-24-16-20,37,22,8,24,16,20,8,16,20,22,24,37
4/13/2018,21-31-03-07-17-30,21,31,3,7,17,30,3,7,17,21,30,31
4/16/2018,24-41-44-11-45-07,24,41,44,11,45,7,7,11,24,41,44,45
4/18/2018,38-03-16-12-43-33,38,3,16,12,43,33,3,12,16,33,38,43
4/20/2018,41-12-28-25-11-44,41,12,28,25,11,44,11,12,25,28,41,44
4/23/2018,40-01-26-04-32-42,40,1,26,4,32,42,1,4,26,32,40,42
4/25/2018,43-01-38-17-30-08,43,1,38,17,30,8,1,8,17,30,38,43
4/27/2018,05-27-33-21-42-25,5,27,33,21,42,25,5,21,25,27,33,42
4/30/2018,23-38-36-08-10-21,23,38,36,8,10,21,8,10,21,23,36,38
5/2/2018,10-32-41-42-44-24,10,32,41,42,44,24,10,24,32,41,42,44
5/4/2018,29-35-28-22-31-26,29,35,28,22,31,26,22,26,28,29,31,35
