LOTTO GAME,COMBINATIONS,SEQUENCE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,22-48-57-12-33-43,224,50000000,0,12,22,33,43,48,57,2017-04-02
Ultra Lotto 6/58,23-21-30-26-44-34,225,50000000,0,21,23,26,30,34,44,2017-04-04
Ultra Lotto 6/58,36-49-58-46-03-02,226,50000000,0,2,3,36,46,49,58,2017-04-07
Ultra Lotto 6/58,57-24-45-50-25-40,227,50000000,0,24,25,40,45,50,57,2017-04-09
Ultra Lotto 6/58,51-13-06-25-15-58,228,50000000,0,6,13,15,25,51,58,2017-04-11
Ultra Lotto 6/58,03-06-24-15-18-38,229,50000000,0,3,6,15,18,24,38,2017-04-18
Ultra Lotto 6/58,24-23-34-02-29-32,230,50000000,0,2,23,24,29,32,34,2017-04-21
Ultra Lotto 6/58,47-09-06-48-56-17,231,50000000,0,6,9,17,47,48,56,2017-04-23
Ultra Lotto 6/58,03-27-23-29-47-57,232,50000000,0,3,23,27,29,47,57,2017-04-25
Ultra Lotto 6/58,14-44-46-56-31-16,233,50000000,0,14,16,31,44,46,56,2017-04-28
Ultra Lotto 6/58,33-38-29-57-31-53,234,50000000,0,29,31,33,38,53,57,2017-04-30
Ultra Lotto 6/58,22-34-25-23-18-33,235,50000000,0,18,22,23,25,33,34,2017-05-02
Ultra Lotto 6/58,26-33-58-56-39-37,236,50000000,0,26,33,37,39,56,58,2017-05-05
Ultra Lotto 6/58,31-52-44-57-21-45,237,50000000,0,21,31,44,45,52,57,2017-05-07
Ultra Lotto 6/58,18-15-58-30-07-05,238,50000000,0,5,7,15,18,30,58,2017-05-09
Ultra Lotto 6/58,02-16-11-49-18-03,239,50000000,0,2,3,11,16,18,49,2017-05-12
Ultra Lotto 6/58,56-13-58-17-20-08,240,50000000,0,8,13,17,20,56,58,2017-05-14
Ultra Lotto 6/58,08-26-48-41-47-39,241,51329860,0,8,26,39,41,47,48,2017-05-16
Ultra Lotto 6/58,30-11-50-54-28-15,242,54323568,0,11,15,28,30,50,54,2017-05-19
Ultra Lotto 6/58,05-08-45-09-46-36,243,57381244,0,5,8,9,36,45,46,2017-05-21
Ultra Lotto 6/58,22-33-21-57-14-41,244,59789192,0,14,21,22,33,41,57,2017-05-23
Ultra Lotto 6/58,58-47-43-22-44-12,245,62694664,0,12,22,43,44,47,58,2017-05-26
Ultra Lotto 6/58,36-17-39-35-40-11,246,65813936,0,11,17,35,36,39,40,2017-05-28
Ultra Lotto 6/58,03-21-54-15-20-12,247,68118984,0,3,12,15,20,21,54,2017-05-30
Ultra Lotto 6/58,47-32-53-02-45-11,248,71188576,0,2,11,32,45,47,53,2017-06-02
