LOTTO GAME,COMBINATIONS,SEQUENCE,JACKPOT,WINNERS,SLOT 1,SLOT 2,SLOT 3,SLOT 4,SLOT 5,SLOT 6,DATE FORMATTED
Ultra Lotto 6/58,11-27-51-02-16-41,142,162847140,0,2,11,16,27,41,51,2016-08-07
Ultra Lotto 6/58,44-39-43-10-07-23,143,167511164,0,7,10,23,39,43,44,2016-10-07
Ultra Lotto 6/58,06-21-57-31-53-02,144,173368172,0,2,6,21,31,53,57,2016-07-15
Ultra Lotto 6/58,39-05-11-26-16-28,145,178240316,0,5,11,16,26,28,39,2016-07-17
Ultra Lotto 6/58,09-47-04-20-52-05,146,184031148,0,4,5,9,20,47,52,2016-07-22
Ultra Lotto 6/58,10-30-22-34-50-28,147,188714904,0,10,22,28,30,34,50,2016-07-24
Ultra Lotto 6/58,20-55-14-22-18-30,148,194605848,1,14,18,20,22,30,55,2016-07-29
Ultra Lotto 6/58,21-27-55-47-46-19,149,50000000,0,19,21,27,46,47,55,2016-07-31
Ultra Lotto 6/58,02-09-06-30-52-08,150,50000000,0,2,6,8,9,30,52,2016-05-08
Ultra Lotto 6/58,55-36-33-30-53-32,151,50000000,0,30,32,33,36,53,55,2016-07-08
Ultra Lotto 6/58,50-19-25-15-51-14,152,50000000,0,14,15,19,25,50,51,2016-12-08
Ultra Lotto 6/58,05-54-48-17-01-39,153,50000000,0,1,5,17,39,48,54,2016-08-14
Ultra Lotto 6/58,07-38-40-31-53-30,154,50000000,0,7,30,31,38,40,53,2016-08-19
Ultra Lotto 6/58,24-10-42-30-25-13,155,50000000,0,10,13,24,25,30,42,2016-08-21
Ultra Lotto 6/58,38-37-57-22-30-53,156,50000000,0,22,30,37,38,53,57,2016-08-26
Ultra Lotto 6/58,20-12-02-03-15-22,157,50000000,1,2,3,12,15,20,22,2016-08-28
Ultra Lotto 6/58,48-34-36-16-27-35,158,50000000,0,16,27,34,35,36,48,2016-02-09
Ultra Lotto 6/58,13-47-26-28-01-48,159,50000000,0,1,13,26,28,47,48,2016-04-09
Ultra Lotto 6/58,29-27-34-47-04-12,160,50000000,0,4,12,27,29,34,47,2016-09-09
Ultra Lotto 6/58,11-15-20-08-49-37,161,50000000,0,8,11,15,20,37,49,2016-11-09
Ultra Lotto 6/58,23-41-13-46-43-58,162,50000000,0,13,23,41,43,46,58,2016-09-16
Ultra Lotto 6/58,13-51-12-02-06-36,163,50000000,0,2,6,12,13,36,51,2016-09-18
Ultra Lotto 6/58,32-56-27-57-15-09,164,50000000,0,9,15,27,32,56,57,2016-09-23
