date,results,slot 1,slot 2,slot 3,slot 4,slot 5,slot 6,sorted1,sorted2,sorted3,sorted4,sorted5,sorted6
12/16/2013,11-55-53-16-39-17,11,55,53,16,39,17,11,16,17,39,53,55
12/18/2013,07-20-40-01-31-21,7,20,40,1,31,21,1,7,20,21,31,40
12/21/2013,09-49-14-03-23-35,9,49,14,3,23,35,3,9,14,23,35,49
12/23/2013,40-24-08-48-35-09,40,24,8,48,35,9,8,9,24,35,40,48
12/28/2013,35-42-09-15-39-36,35,42,9,15,39,36,9,15,35,36,39,42
12/30/2013,38-15-34-29-08-41,38,15,34,29,8,41,8,15,29,34,38,41
1/4/2014,32-10-18-03-38-31,32,10,18,3,38,31,3,10,18,31,32,38
1/6/2014,09-02-47-29-12-55,9,2,47,29,12,55,2,9,12,29,47,55
1/8/2014,22-43-08-54-20-40,22,43,8,54,20,40,8,20,22,40,43,54
1/11/2014,08-24-30-52-27-06,8,24,30,52,27,6,6,8,24,27,30,52
1/13/2014,39-04-38-19-42-13,39,4,38,19,42,13,4,13,19,38,39,42
1/15/2014,38-21-03-22-50-28,38,21,3,22,50,28,3,21,22,28,38,50
1/18/2014,27-08-48-09-46-45,27,8,48,9,46,45,8,9,27,45,46,48
1/20/2014,02-38-32-19-08-03,2,38,32,19,8,3,2,3,8,19,32,38
1/22/2014,19-23-53-04-16-30,19,23,53,4,16,30,4,16,19,23,30,53
1/25/2014,50-41-47-09-35-05,50,41,47,9,35,5,5,9,35,41,47,50
1/27/2014,54-32-47-14-46-53,54,32,47,14,46,53,14,32,46,47,53,54
1/29/2014,51-25-50-17-45-32,51,25,50,17,45,32,17,25,32,45,50,51
2/1/2014,25-09-06-50-32-48,25,9,6,50,32,48,6,9,25,32,48,50
2/3/2014,49-37-22-27-35-44,49,37,22,27,35,44,22,27,35,37,44,49
2/5/2014,20-42-33-13-03-04,20,42,33,13,3,4,3,4,13,20,33,42
2/8/2014,08-51-09-49-15-26,8,51,9,49,15,26,8,9,15,26,49,51
2/10/2014,23-49-09-48-46-45,23,49,9,48,46,45,9,23,45,46,48,49
2/12/2014,16-46-03-52-51-15,16,46,3,52,51,15,3,15,16,46,51,52
2/15/2014,08-03-19-13-42-01,8,3,19,13,42,1,1,3,8,13,19,42
2/17/2014,45-21-39-16-24-27,45,21,39,16,24,27,16,21,24,27,39,45
2/19/2014,18-23-09-07-14-13,18,23,9,7,14,13,7,9,13,14,18,23
2/22/2014,08-51-11-48-34-10,8,51,11,48,34,10,8,10,11,34,48,51
2/24/2014,03-27-52-02-26-43,3,27,52,2,26,43,2,3,26,27,43,52
2/26/2014,54-17-28-55-23-05,54,17,28,55,23,5,5,17,23,28,54,55
3/1/2014,55-21-37-48-14-47,55,21,37,48,14,47,14,21,37,47,48,55
3/3/2014,42-47-43-48-52-17,42,47,43,48,52,17,17,42,43,47,48,52
3/5/2014,26-34-36-27-45-39,26,34,36,27,45,39,26,27,34,36,39,45
3/8/2014,11-21-07-20-54-26,11,21,7,20,54,26,7,11,20,21,26,54
3/10/2014,33-51-42-27-32-43,33,51,42,27,32,43,27,32,33,42,43,51
3/12/2014,08-44-01-54-30-05,8,44,1,54,30,5,1,5,8,30,44,54
3/15/2014,46-40-55-32-02-03,46,40,55,32,2,3,2,3,32,40,46,55
3/17/2014,08-29-17-51-26-32,8,29,17,51,26,32,8,17,26,29,32,51
3/19/2014,47-03-50-43-20-51,47,3,50,43,20,51,3,20,43,47,50,51
3/22/2014,36-06-21-30-11-25,36,6,21,30,11,25,6,11,21,25,30,36
3/24/2014,43-31-33-04-07-42,43,31,33,4,7,42,4,7,31,33,42,43
3/26/2014,18-53-38-09-14-23,18,53,38,9,14,23,9,14,18,23,38,53
3/29/2014,40-41-24-09-34-21,40,41,24,9,34,21,9,21,24,34,40,41
3/31/2014,05-44-29-30-48-20,5,44,29,30,48,20,5,20,29,30,44,48
4/2/2014,33-03-35-31-19-38,33,3,35,31,19,38,3,19,31,33,35,38
4/5/2014,52-34-29-14-38-05,52,34,29,14,38,5,5,14,29,34,38,52
4/7/2014,39-21-42-28-05-27,39,21,42,28,5,27,5,21,27,28,39,42
4/9/2014,52-15-25-55-23-31,52,15,25,55,23,31,15,23,25,31,52,55
4/12/2014,16-13-30-41-44-46,16,13,30,41,44,46,13,16,30,41,44,46
4/14/2014,02-24-06-17-11-14,2,24,6,17,11,14,2,6,11,14,17,24
4/16/2014,28-41-12-29-11-01,28,41,12,29,11,1,1,11,12,28,29,41
4/21/2014,36-46-52-47-45-43,36,46,52,47,45,43,36,43,45,46,47,52
4/23/2014,40-39-35-36-29-55,40,39,35,36,29,55,29,35,36,39,40,55
4/26/2014,36-50-52-45-14-44,36,50,52,45,14,44,14,36,44,45,50,52
4/28/2014,20-21-30-48-16-44,20,21,30,48,16,44,16,20,21,30,44,48
4/30/2014,13-51-50-09-15-40,13,51,50,9,15,40,9,13,15,40,50,51
5/3/2014,42-02-09-38-45-34,42,2,9,38,45,34,2,9,34,38,42,45
5/5/2014,16-34-26-42-06-52,16,34,26,42,6,52,6,16,26,34,42,52
5/7/2014,53-21-30-15-14-31,53,21,30,15,14,31,14,15,21,30,31,53
5/10/2014,44-40-45-25-21-55,44,40,45,25,21,55,21,25,40,44,45,55
5/12/2014,53-27-14-08-02-54,53,27,14,8,2,54,2,8,14,27,53,54
5/14/2014,50-45-14-36-52-48,50,45,14,36,52,48,14,36,45,48,50,52
5/17/2014,16-42-29-24-27-12,16,42,29,24,27,12,12,16,24,27,29,42
5/19/2014,46-45-32-23-37-47,46,45,32,23,37,47,23,32,37,45,46,47
5/21/2014,54-23-09-52-32-17,54,23,9,52,32,17,9,17,23,32,52,54
5/24/2014,39-54-48-34-17-04,39,54,48,34,17,4,4,17,34,39,48,54
5/26/2014,39-49-14-20-29-23,39,49,14,20,29,23,14,20,23,29,39,49
5/28/2014,07-34-05-48-51-06,7,34,5,48,51,6,5,6,7,34,48,51
5/31/2014,07-46-22-40-12-38,7,46,22,40,12,38,7,12,22,38,40,46
6/2/2014,11-54-18-44-09-36,11,54,18,44,9,36,9,11,18,36,44,54
6/4/2014,11-28-08-33-24-14,11,28,8,33,24,14,8,11,14,24,28,33
6/7/2014,33-03-08-20-36-17,33,3,8,20,36,17,3,8,17,20,33,36
6/9/2014,28-49-33-04-11-14,28,49,33,4,11,14,4,11,14,28,33,49
6/11/2014,16-12-09-54-27-30,16,12,9,54,27,30,9,12,16,27,30,54
6/14/2014,12-17-37-48-43-34,12,17,37,48,43,34,12,17,34,37,43,48
6/16/2014,54-19-02-21-14-44,54,19,2,21,14,44,2,14,19,21,44,54
6/18/2014,02-54-06-32-24-25,2,54,6,32,24,25,2,6,24,25,32,54
6/21/2014,37-41-29-34-52-16,37,41,29,34,52,16,16,29,34,37,41,52
6/23/2014,35-48-02-11-29-46,35,48,2,11,29,46,2,11,29,35,46,48
6/25/2014,26-04-25-33-38-18,26,4,25,33,38,18,4,18,25,26,33,38
6/28/2014,04-52-55-38-46-08,4,52,55,38,46,8,4,8,38,46,52,55
6/30/2014,39-20-19-03-45-07,39,20,19,3,45,7,3,7,19,20,39,45
7/2/2014,51-14-21-04-22-50,51,14,21,4,22,50,4,14,21,22,50,51
7/5/2014,07-45-39-49-01-27,7,45,39,49,1,27,1,7,27,39,45,49
7/7/2014,20-52-24-03-14-36,20,52,24,3,14,36,3,14,20,24,36,52
7/9/2014,25-55-32-31-06-52,25,55,32,31,6,52,6,25,31,32,52,55
7/12/2014,30-11-52-09-05-02,30,11,52,9,5,2,2,5,9,11,30,52
7/14/2014,22-10-16-20-23-08,22,10,16,20,23,8,8,10,16,20,22,23
7/16/2014,23-17-32-13-41-12,23,17,32,13,41,12,12,13,17,23,32,41
7/19/2014,16-30-10-17-21-37,16,30,10,17,21,37,10,16,17,21,30,37
7/21/2014,43-06-37-15-04-24,43,6,37,15,4,24,4,6,15,24,37,43
7/23/2014,37-22-04-39-10-38,37,22,4,39,10,38,4,10,22,37,38,39
7/26/2014,16-18-06-34-40-20,16,18,6,34,40,20,6,16,18,20,34,40
7/28/2014,12-44-27-46-02-26,12,44,27,46,2,26,2,12,26,27,44,46
7/30/2014,29-45-12-35-46-11,29,45,12,35,46,11,11,12,29,35,45,46
8/2/2014,46-35-02-55-24-30,46,35,2,55,24,30,2,24,30,35,46,55
8/4/2014,24-51-41-54-14-27,24,51,41,54,14,27,14,24,27,41,51,54
